#	Symbol	Type	Manager Volume	Open Price	Close Price	Open Time	Close Time	Manager Profit	Current Share	Investor Profit
3639514	AUDNZD.r	Sell	0.31	1.10171	1.12797	2025.08.20 05:15:01	2025.09.23 16:45:03	-€433.03	0.009%	-€0.03
3641075	AUDNZD.r	Sell	0.62	1.10888	1.12841	2025.08.26 05:00:01	2025.09.23 16:45:02	-€649.79	0.009%	-€0.06
3640109	AUDNZD.r	Sell	0.31	1.10521	1.1282	2025.08.22 07:45:01	2025.09.23 16:45:02	-€379.78	0.009%	-€0.03
3644870	AUDNZD.r	Sell	1.24	1.11347	1.12841	2025.09.03 04:45:01	2025.09.23 16:45:01	-€987.92	0.009%	-€0.10
3650429	AUDNZD.r	Sell	3.72	1.12106	1.12827	2025.09.18 02:15:01	2025.09.23 16:45:00	-€1,374.03	0.009%	-€0.13
3648553	AUDNZD.r	Sell	2.48	1.11652	1.12831	2025.09.12 12:00:01	2025.09.23 16:45:00	-€1,516.58	0.009%	-€0.14
3651088	AUDNZD.r	Sell	5.58	1.12458	1.12825	2025.09.19 14:30:13	2025.09.23 16:44:59	-€1,067.90	0.009%	-€0.09
3652082	AUDNZD.r	Sell	8.38	1.12655	1.12824	2025.09.22 02:45:01	2025.09.23 16:44:58	-€760.52	0.009%	-€0.07
3640262	AUDCAD.r	Sell	0.31	0.89776	0.89664	2025.08.22 17:15:01	2025.08.25 04:11:48	€18.91	0.009%	€0.00
3639517	AUDCAD.r	Buy	0.31	0.8934	0.89724	2025.08.20 05:15:02	2025.08.22 17:01:04	€72.35	0.009%	€0.01
3638539	AUDCAD.r	Buy	0.31	0.89765	0.89734	2025.08.18 15:15:01	2025.08.22 17:01:04	-€6.95	0.009%	€0.00
3639230	AUDNZD.r	Buy	0.31	1.09443	1.09643	2025.08.19 16:45:01	2025.08.20 05:00:06	€29.68	0.009%	€0.00
3638108	AUDCAD.r	Sell	0.31	0.89929	0.89823	2025.08.15 16:45:01	2025.08.18 11:03:28	€17.70	0.009%	€0.00
3637580	NZDCAD.r	Buy	0.31	0.81816	0.81922	2025.08.14 16:00:01	2025.08.15 18:18:08	€18.66	0.009%	€0.00
3632921	AUDCAD.r	Sell	0.31	0.89353	0.89769	2025.08.06 06:30:02	2025.08.14 15:30:12	-€93.34	0.009%	-€0.01
3634468	AUDCAD.r	Sell	0.31	0.89726	0.89769	2025.08.08 16:30:01	2025.08.14 15:30:11	-€16.73	0.009%	€0.00
3636494	AUDCAD.r	Sell	0.62	0.90163	0.89766	2025.08.13 10:15:01	2025.08.14 15:30:11	€143.15	0.009%	€0.01
3632918	NZDCAD.r	Sell	0.31	0.815	0.81941	2025.08.06 05:30:03	2025.08.14 13:06:02	-€93.23	0.009%	-€0.01
3633703	NZDCAD.r	Sell	0.31	0.81842	0.81942	2025.08.07 16:15:02	2025.08.14 13:06:01	-€25.53	0.009%	€0.00
3636499	NZDCAD.r	Sell	0.62	0.82326	0.8194	2025.08.13 10:15:07	2025.08.14 13:06:01	€141.58	0.009%	€0.01
3632587	AUDNZD.r	Sell	0.31	1.09653	1.09517	2025.08.05 09:30:01	2025.08.06 02:14:20	€19.14	0.009%	€0.00
3632789	AUDCAD.r	Sell	0.31	0.89253	0.89146	2025.08.05 16:15:01	2025.08.05 16:47:39	€19.29	0.009%	€0.00
3632477	AUDCAD.r	Buy	0.31	0.89063	0.89175	2025.08.04 19:00:01	2025.08.05 13:04:02	€20.41	0.009%	€0.00
3632042	AUDNZD.r	Sell	0.31	1.09655	1.09537	2025.08.04 08:45:01	2025.08.04 13:45:49	€17.14	0.009%	€0.00
